순번,성별,장애유형,사업장명,수료상태,인턴기간,전환여부
1,남,시각장애,더 바디 테라피,수료,2020-12-14~2021-06-13,Y
2,여,지체장애,(주)미쓰봉플라워,수료,2020-12-01~2020-12-31,N
3,남,시각장애,그린안마원,수료,2020-11-25~2020-12-24,Y
4,여,지체장애,보금주식회사,수료,2020-11-19~2020-12-18,Y
5,남,지체장애,(주)태진,수료,2020-11-17~2020-12-16,Y
6,여,지적장애,화탑영농조합법인,수료,2020-11-17~2020-12-16,Y
7,남,정신장애,이스코사회적협동조합,수료,2020-11-16~2020-12-15,Y
8,여,정신장애,주식회사금하테크,수료,2020-11-16~2020-12-15,Y
9,여,뇌병변장애,(주)인스,수료,2020-11-16~2020-12-15,Y
10,여,지체장애,보금주식회사,수료,2020-11-16~2020-12-15,Y
11,남,정신장애,(주)인스,중도탈락,2020-11-16~2020-12-15,N
12,여,정신장애,이스코사회적협동조합,수료,2020-11-16~2020-12-15,Y
13,남,뇌전증장애,보람실업(주),수료,2020-11-11~2020-12-10,Y
14,남,지적장애,(주)인스,수료,2020-11-10~2020-12-09,Y
15,남,정신장애,잇쇼우안,수료,2020-11-09~2020-12-08,N
16,여,정신장애,떡이야,수료,2020-11-09~2020-12-08,Y
17,남,자폐성장애,(주)인스,수료,2020-11-09~2020-12-08,Y
18,남,시각장애,떡이야,중도탈락,2020-11-09~2020-12-08,N
19,남,시각장애,(사)전남지체장애인협회목포시지회,수료,2020-11-09~2020-12-08,Y
20,남,정신장애,포항세명기독병원,수료,2020-11-02~2020-12-01,Y
21,남,청각장애,북부운수(주),수료,2020-11-02~2020-12-01,N
22,여,지체장애,(주)에스피씨글로벌,수료,2020-11-02~2020-12-01,Y
23,남,지체장애,보금주식회사,수료,2020-11-02~2020-11-30,Y
24,남,정신장애,포항세명기독병원,중도탈락,2020-11-02~2020-12-01,N
25,남,자폐성장애,사단법인 한마음장애인복지회 전력사업단,조기수료,2020-11-01~2020-11-30,Y
26,여,지적장애,(주)펫팜헬스케어,수료,2020-11-01~2020-11-30,Y
27,남,시각장애,힐링스토리,수료,2020-11-01~2020-11-30,Y
28,남,자폐성장애,주식회사 가천누리,수료,2020-11-01~2020-11-30,N
29,남,자폐성장애,주식회사 가천누리,수료,2020-11-01~2020-11-30,N
30,남,지체장애,(사)한국기능장애인협회 천안장애인사업장,중도탈락,2020-11-01~2020-11-30,N
31,남,자폐성장애,주식회사 가천누리,수료,2020-11-01~2020-11-30,N
32,남,뇌전증장애,씨앤비물산크린(주),수료,2020-10-26~2020-11-25,Y
33,남,지체장애,(주)동남정밀,중도탈락,2020-10-26~2020-11-25,N
34,남,뇌병변장애,한국자재산업(주),수료,2020-10-23~2020-11-22,Y
35,여,정신장애,해오름 주식회사,중도탈락,2020-10-22~2020-11-21,N
36,남,지체장애,주식회사 유앤아이한국마스크,중도탈락,2020-10-22~2020-11-21,N
37,여,지체장애,주식회사 유앤아이한국마스크,중도탈락,2020-10-22~2020-11-21,N
38,여,정신장애,잇쇼우안,수료,2020-10-20~2020-12-19,Y
39,여,뇌병변장애,보금주식회사,중도탈락,2020-10-19~2020-11-18,N
40,남,청각장애,(주)동남정밀,수료,2020-10-19~2020-11-18,Y
41,남,정신장애,이오에스물류,중도탈락,2020-10-19~2020-12-18,N
42,남,청각장애,(합) 대한상사 해피크린,수료,2020-10-19~2020-11-18,Y
43,남,간장애,세지솔로텍,중도탈락,2020-10-19~2020-11-18,N
44,여,지체장애,(합) 대한상사 해피크린,수료,2020-10-19~2020-11-18,Y
45,남,정신장애,보금주식회사,수료,2020-10-19~2020-11-18,Y
46,남,지체장애,청주삼성요양병원,수료,2020-10-15~2020-11-14,Y
47,여,정신장애,주식회사대원크리닝,수료,2020-10-13~2020-11-12,Y
48,남,지체장애,크린필터 주식회사,수료,2020-10-08~2020-12-07,N
49,남,정신장애,종로행복일굼터,조기수료,2020-10-08~2020-12-07,Y
50,남,정신장애,종로행복일굼터,조기수료,2020-10-08~2020-12-07,Y
51,여,심장장애,(주)에스피씨글로벌,중도탈락,2020-10-08~2020-11-07,N
52,남,지체장애,(주)아미티에이,조기수료,2020-10-07~2020-12-06,Y
53,여,정신장애,(주)시호섬유,중도탈락,2020-10-05~2020-12-04,N
54,남,정신장애,대응농산,조기수료,2020-10-05~2020-12-04,Y
55,남,청각장애,(주)시호섬유,수료,2020-10-05~2020-12-04,Y
56,여,지체장애,(주)울산메모리얼파크,중도탈락,2020-10-05~2020-11-04,N
57,여,정신장애,굿파트너스 주식회사,수료,2020-10-05~2020-11-04,Y
58,여,정신장애,굿파트너스 주식회사,수료,2020-10-05~2020-11-04,Y
59,여,정신장애,(주)울산메모리얼파크,수료,2020-10-05~2020-11-04,Y
60,여,청각장애,(주)시호섬유,수료,2020-10-05~2020-12-04,Y
61,남,청각장애,(주)시호섬유,수료,2020-10-05~2020-12-04,Y
62,여,정신장애,만세365병원,중도탈락,2020-10-05~2020-12-04,N
63,여,청각장애,보성군장애인복지관,수료,2020-10-05~2020-12-04,Y
64,남,정신장애,제주정신건강복지연구소부설제주정신재활센터,수료,2020-10-05~2020-12-04,N
65,남,정신장애,주식회사대원크리닝,수료,2020-10-05~2020-11-04,Y
66,남,지체장애,(주)시호섬유,수료,2020-10-05~2020-12-04,Y
67,남,자폐성장애,제주정신건강복지연구소부설제주정신재활센터,수료,2020-10-05~2020-12-04,N
68,여,지체장애,(주)시호섬유,중도탈락,2020-10-05~2020-12-04,N
69,여,정신장애,굿파트너스 주식회사,수료,2020-10-05~2020-11-04,Y
70,여,정신장애,굿파트너스 주식회사,수료,2020-10-05~2020-11-04,Y
71,여,지체장애,라이온재활요양병원,수료,2020-10-05~2020-11-04,Y
72,여,지체장애,베스티안병원,수료,2020-10-05~2020-12-04,Y
73,남,정신장애,사단법인 한마음장애인복지회,중도탈락,2020-10-01~2020-10-31,N
74,남,정신장애,사단법인 한마음장애인복지회,조기수료,2020-10-01~2020-10-31,Y
75,남,정신장애,사단법인 한마음장애인복지회,조기수료,2020-10-01~2020-10-31,Y
76,남,정신장애,사단법인 한마음장애인복지회,조기수료,2020-10-01~2020-10-31,Y
77,남,정신장애,사단법인 한마음장애인복지회,조기수료,2020-10-01~2020-10-31,Y
78,남,시각장애,(주)아미티에이,조기수료,2020-10-01~2020-11-30,Y
79,남,청각장애,(사)한국기능장애인협회(드림장애인작업장),조기수료,2020-09-25~2020-11-24,Y
80,남,신장장애,의료법인 성세의료재단 성민병원,수료,2020-09-21~2020-10-20,N
81,여,정신장애,(사)한국장애인문인복지후원회,조기수료,2020-09-15~2020-12-14,Y
82,남,정신장애,(사)한국장애인문인복지후원회,조기수료,2020-09-15~2020-12-14,Y
83,남,지적장애,주식회사 마이벨로,수료,2020-09-15~2020-11-13,Y
84,여,지체장애,(사)한국기능장애인협회(드림장애인작업장),조기수료,2020-09-15~2020-12-14,Y
85,남,정신장애,(사)한국장애인문인복지후원회,중도탈락,2020-09-15~2020-12-14,N
86,남,청각장애,일광영농조합법인,중도탈락,2020-09-14~2020-11-13,N
87,여,청각장애,굿프렌드 정우,조기수료,2020-09-14~2020-11-13,Y
88,남,시각장애,힐링스토리,조기수료,2020-09-14~2020-12-13,Y
89,남,지체장애,하늘안건설중기,중도탈락,2020-09-11~2020-12-10,N
90,남,뇌병변장애,이오에스물류,조기수료,2020-09-11~2020-12-10,Y
91,여,정신장애,(사)한국장애인문인복지후원회,중도탈락,2020-09-10~2020-12-09,N
92,남,시각장애,신창요양병원,조기수료,2020-09-10~2020-12-09,Y
93,여,뇌병변장애,엘피스,수료,2020-09-08~2020-12-07,N
94,여,지체장애,주식회사 그린누리,중도탈락,2020-09-08~2020-12-07,N
95,여,청각장애,(주)지앤지티씨,수료,2020-09-07~2020-12-06,Y
96,남,자폐성장애,서귀포시장애인단체연합회(모거리카페),조기수료,2020-09-07~2020-12-06,Y
97,남,청각장애,한아바이오,조기수료,2020-09-07~2020-12-06,Y
98,여,뇌병변장애,의료법인창아의료재단,조기수료,2020-09-07~2020-12-06,Y
99,남,정신장애,에이치디에스(주),수료,2020-09-07~2020-12-06,Y
100,남,지체장애,한아바이오,조기수료,2020-09-07~2020-12-06,Y
101,여,정신장애,이오에스물류,조기수료,2020-09-04~2020-12-03,Y
102,남,정신장애,이오에스물류,중도탈락,2020-09-02~2020-12-01,N
103,남,지체장애,(주)썬필코리아,수료,2020-09-01~2020-11-30,N
104,남,정신장애,(주)항진축산 제2공장,수료,2020-09-01~2020-11-30,Y
105,남,지체장애,서울외국인학교,조기수료,2020-09-01~2020-11-30,Y
106,남,지체장애,이오에스물류,조기수료,2020-09-01~2020-11-30,Y
107,남,정신장애,(주)썬필코리아,중도탈락,2020-09-01~2020-11-30,N
108,남,시각장애,(주)태웅메디칼,수료,2020-09-01~2020-11-30,Y
109,남,뇌병변장애,이오에스물류,조기수료,2020-09-01~2020-11-30,Y
110,남,시각장애,나은힐링안마센터,조기수료,2020-09-01~2020-11-30,Y
111,남,지체장애,(주)썬필코리아,중도탈락,2020-09-01~2020-11-30,N
112,여,지체장애,일광영농조합법인,조기수료,2020-09-01~2020-11-30,Y
113,여,지체장애,커피플레이 제주,수료,2020-09-01~2020-11-30,Y
114,남,청각장애,(주)썬필코리아,수료,2020-09-01~2020-11-30,N
115,남,지체장애,굿프렌드 정우,조기수료,2020-09-01~2020-11-30,Y
116,여,청각장애,굿프렌드 정우,조기수료,2020-09-01~2020-11-30,Y
117,여,청각장애,주)그랜드관광호텔,조기수료,2020-09-01~2020-11-30,Y
118,남,청각장애,(사)한국기능장애인협회(드림장애인작업장),중도탈락,2020-08-25~2020-11-24,N
119,여,시각장애,(주)에스폴리텍,수료,2020-08-24~2020-11-23,Y
120,남,지체장애,착한양말,수료,2020-08-24~2020-09-23,N
121,여,지체장애,착한양말,수료,2020-08-24~2020-09-23,Y
122,남,시각장애,(주)에스폴리텍,수료,2020-08-21~2020-11-20,Y
123,남,지체장애,(사)대한민국공무원공상유공자회 재난안전사업부,수료,2020-08-20~2020-10-19,Y
124,여,지체장애,세란병원,수료,2020-08-20~2020-09-19,Y
125,남,지체장애,(사)대한민국공무원공상유공자회 재난안전사업부,수료,2020-08-20~2020-10-19,Y
126,남,정신장애,사단법인누리복지회사업부,조기수료,2020-08-18~2020-11-17,Y
127,여,지체장애,고래세라믹,수료,2020-08-18~2020-11-17,Y
128,남,청각장애,에스에스모비리티(주) SV사회적가치렌터카,중도탈락,2020-08-18~2020-12-17,N
129,남,시각장애,고래세라믹,수료,2020-08-18~2020-11-17,N
